id,name
1,バスタオル
2,コーム
3,ペットボトル
4,ドライヤー
5,ブラシ
6,クッション
7,ドライフラワー
8,ティーカップ
9,スニーカー
10,ハンカチ
11,水筒
12,マスク
13,ベルト
14,小説
15,リボン
16,ヘアピン
17,ハンドクリーム
18,スマートフォン
19,スマホショルダー
20,シャンプー
21,トリートメント
22,ボディーソープ
23,ノート
24,ヘアバンド
25,ネックレス
26,ハンドバッグ
27,靴下
28,ピアス
29,イヤリング
30,ワンピース
31,カーテン
32,ティーポット
33,キャンドル
34,枕カバー
35,ボールペン
36,雑誌
37,ショルダーバッグ
38,ポストイット
39,スカート
40,付箋
41,香水
42,日記
43,シャープペンシル
44,鉛筆
45,消しゴム
46,ハンガー
47,カレンダー
48,フェイスタオル
49,ポーチ
50,ポータブル充電器
51,ぬいぐるみ
52,マスキングテープ
53,ハンドソープ
54,ウェットティッシュ
55,フォーク
56,スプーン
57,グラス
58,ネイルチップ
59,アイシャドウ
60,マスカラ
61,アイライナー
62,ビューラー
63,缶バッチ
64,チーク
65,リップクリーム
66,フェイスパック
67,クリアファイル
68,イヤホン
69,カチューシャ
70,ペンケース
71,デジタル時計